Cifras absolutas y relativas;Sexo;Edad;Tipo de bebidas consumidas;Frecuencia de consumo;Total
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;30,7
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;125,2
CIFRAS ABSOLUTAS;Varones;De 75 y más años;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;369,0
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Total;7.299,7
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Cuatro o más días a la semana;1.340,1
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;De 1 a 3 días a la semana;1.472,2
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Menos de 1 día a la semana y al menos 1 día al mes;642,9
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;Menos de 1 día al mes;2.134,4
CIFRAS ABSOLUTAS;Mujeres;Total;Copas de vino, champagne o cava;No ha consumido este tipo de bebida;1.710,1
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Total;7.299,7
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Cuatro o más días a la semana;553,8
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;De 1 a 3 días a la semana;2.035,1
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día a la semana y al menos 1 día al mes;612,8
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;Menos de 1 día al mes;1.656,5
CIFRAS ABSOLUTAS;Mujeres;Total;Cañas de cerveza ( con alcohol), sidra;No ha consumido este tipo de bebida;2.441,5
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Total;788,8
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;Cuatro o más días a la semana;5,0
CIFRAS ABSOLUTAS;Mujeres;De 16 a 24 años;Copas de vino, champagne o cava;De 1 a 3 días a la semana;123,1
